time,depositor_entity,cum_deposited_eth,cum_validators
2026-08-10 00:00:00,ether.fi,1663520.512025645,51985.016000801406
2024-03-11 00:00:00,Octant,100352,3136
2023-05-01 00:00:00,Gate.io,3264.1311291460006,102.00409778581252
2021-02-22 00:00:00,Blockdaemon,0,0
2021-04-05 00:00:00,Stader,0,0
2024-11-11 00:00:00,Stader,128115.50512510701,4003.609535159594
2026-05-11 00:00:00,Stader,110202.73436620703,3443.83544894397
2025-12-22 00:00:00,Solo Stakers,142717.1526103601,4459.911019073753
2021-08-23 00:00:00,Kiln,0,0
2022-08-29 00:00:00,Kiln,800,25
2023-01-23 00:00:00,Kiln,44672,1396
2025-03-17 00:00:00,DARMA Capital,239424,7482
2025-05-19 00:00:00,DARMA Capital,239424,7482
2024-11-11 00:00:00,imToken,73728,2304
2026-05-25 00:00:00,imToken,56384,1762
2023-01-09 00:00:00,Bitstamp,67968,2124
2024-07-08 00:00:00,Bitstamp,163232,5101
2025-12-01 00:00:00,Bitstamp,209024.17967872,6532.00561496
2022-01-31 00:00:00,Consensys,0,0
2023-05-29 00:00:00,Consensys,0,0
2024-04-15 00:00:00,Consensys,89216,2788
2021-08-09 00:00:00,Unidentified,1693856,52933
2023-07-17 00:00:00,Unidentified,4399511.756936044,137484.7424042514
2023-08-21 00:00:00,Unidentified,4592581.619907052,143518.17562209538
2024-01-15 00:00:00,Unidentified,5149441.338964942,160920.04184265443
2021-05-03 00:00:00,Kraken,685632,21426
2023-12-11 00:00:00,Kraken,828800.8919551391,25900.027873598097
2024-12-30 00:00:00,Kraken,932032.8919551391,29126.027873598097
2025-03-03 00:00:00,Mantle,392896,12278
2024-06-10 00:00:00,Bitcoin Suisse,534583.852291453,16705.745384107908
2026-05-18 00:00:00,Bitcoin Suisse,424439.85229145305,13263.745384107908
2022-11-07 00:00:00,Binance,1099616,34363
2025-09-01 00:00:00,Binance,3219328.4235978676,100604.01323743336
2021-11-08 00:00:00,Revolut,0,0
2022-05-16 00:00:00,Everstake,6400,200
2023-12-04 00:00:00,Everstake,25088,784
2022-02-28 00:00:00,P2P.org,0,0
2023-10-16 00:00:00,P2P.org,195456,6108
2025-03-31 00:00:00,P2P.org,382080.486176491,11940.015193015344
2026-08-24 00:00:00,P2P.org,345827.68617649097,10807.115193015343
2025-05-05 00:00:00,Coinbase,2665314.529188424,83291.07903713825
2026-03-02 00:00:00,Coinbase,1793868.0912936965,56058.37785292802
2022-08-15 00:00:00,Upbit,51104,1597
2023-10-16 00:00:00,stakefish,322592.191879694,10081.005996240438
2024-12-23 00:00:00,stakefish,484832.602691525,15151.018834110157
2026-08-10 00:00:00,stakefish,289421.80452654,9044.431391454375
2025-11-24 00:00:00,CoinSpot,137664,4302
2023-08-07 00:00:00,OKX,445473,13921.03125
2023-08-21 00:00:00,OKX,457345,14292.03125
2025-03-24 00:00:00,OKX,524129.12227662595,16379.03507114456
2021-03-29 00:00:00,Figment,0,0
2023-02-20 00:00:00,Figment,442784,13837
2026-02-16 00:00:00,Figment,1507776.015196235,47118.00047488234
