ranking,entity,entity_just_name,entity_category,amount_staked,amount_staked_broken_down,validators,marketshare,ow_change,om_change,sm_change,earned_rewards,last_deposit,last_withdrawal
1,<a href='https://x.com/LidoFinance' target='_blank'>Lido</a>,Lido,Liquid Staking,9375201.381576926,9375201.381576926,292975.0431742789,0.21528276307691746,-0.001,-0.006,0.022,1126983.4866670775," 2026-08-11 "," 2026-09-21 "
2,<a href='https://x.com/binance' target='_blank'>Binance</a>,Binance,CEXs,3273296.559487393,3273296.559487393,102290.51748398104,0.07516471369685761,0,0,-0.018,294124.5479297924," 2026-06-17 "," 2026-04-26 "
3,<a href='https://x.com/ether_fi' target='_blank'>ether.fi</a>,ether.fi,Liquid Restaking,1689776.292499605,1689776.292499605,52805.50914061266,0.03880233548327215,0.002,0.016,-0.269,118709.90341102293," 2026-09-16 "," 2026-08-26 "
4,<a href='https://x.com/krakenfx' target='_blank'>Kraken</a>,Kraken,CEXs,1645870.9759888821,1645870.9759888821,51433.46799965257,0.03779413763583507,-0,-0.002,0.034,208212.15303610108," 2026-08-10 "," 2026-09-18 "
5,<a href='https://x.com/coinbase' target='_blank'>Coinbase</a>,Coinbase,CEXs,1549636.4355976959,1549636.4355976959,48426.138612427996,0.03558430374367316,-0.005,-0.037,-0.141,471592.35326542635," 2026-09-21 "," 2026-09-21 "
6,<a href='https://x.com/Figment_io' target='_blank'>Figment</a>,Figment,Staking Pools,1350578.639469951,1350578.639469951,42205.58248343597,0.031013339279209087,-0.002,-0.044,-0.104,116866.75637997805," 2026-08-11 "," 2026-09-20 "
7,<a href='https://x.com/BlockdaemonHQ' target='_blank'>Blockdaemon</a>,Blockdaemon,Staking Pools,1050720.551941474,1050720.551941474,32835.01724817106,0.024127697575453754,-0.001,-0.01,-0.008,51113.09193224312," 2026-08-11 "," 2026-09-19 "
8,<a href='https://x.com/everstake_pool' target='_blank'>Everstake</a>,Everstake,Staking Pools,796512,796512,24891,0.01829030622434259,0,-0.019,0.096,43555.27257807495," 2026-08-11 "," 2026-09-08 "
9,<a href='https://x.com/Kiln_finance' target='_blank'>Kiln</a>,Kiln,Staking Pools,761081.2649407799,761081.2649407799,23783.78952939937,0.01747671020320708,-0.003,-0.026,0.084,87464.57386066185," 2026-08-10 "," 2026-09-20 "
10,<a href='https://x.com/upbitglobal' target='_blank'>Upbit</a>,Upbit,CEXs,635328,635328,19854,0.014589037795914096,-0.002,-0.021,0.164,40951.87856796498," 2026-08-11 "," 2026-09-16 "
11,<a href='https://x.com/okx' target='_blank'>OKX</a>,OKX,CEXs,531707.319745703,531707.319745703,16615.85374205322,0.012209595963241416,-0.004,-0.005,0.175,48056.68615307899," 2026-09-18 "," 2026-09-17 "
12,<a href='https://x.com/Rocket_Pool' target='_blank'>Rocket Pool</a>,Rocket Pool,Liquid Staking,447616.19761580793,447616.19761580793,13988.006175493998,0.010278611402425794,-0.001,-0.011,-0.08,76010.66256130287," 2026-01-15 "," 2026-09-21 "
